frame,L_arm,R_arm
0,170.5256563544366,171.57897106984467
1,170.19805731487745,171.79379208727215
2,170.40485358326498,172.2684695668229
3,169.54131201214255,171.64136443453773
4,170.25114436956213,172.9142481013747
5,169.10769229192383,172.74650138934635
6,168.21835959812253,172.15048200300762
7,169.46873960260564,172.26550898101584
8,170.46319796780935,172.45366180959968
9,170.6746498100029,171.76488211816383
10,170.40434615827198,172.11812675911045
11,169.30900082210596,171.9466805304204
12,168.18730400542344,172.64607385640068
13,168.1494264690283,173.07425234317762
14,169.26456945888327,172.5634766993819
15,167.77174813033957,171.67241301141092
16,168.19001137204134,171.86244189791051
17,168.49401625212104,172.7866964905657
18,167.7091586500278,173.3101977064187
19,169.97452077348075,173.03736732139407
20,171.2654683663581,175.46236782441937
21,174.31443498875768,175.40751831485295
22,173.8208727849197,177.77239339240558
23,177.22297415173878,177.82932304963066
24,172.22504281278822,169.89927597230425
25,95.71812122675597,145.20686217504897
26,32.872711805312,81.77320357550298
27,26.888870578571098,61.65453484836427
28,37.95093718706198,59.02964782967968
29,28.404437192313374,44.93292131058525
30,27.014143370374033,33.90746006160327
31,20.983523702590965,31.84498239506231
32,15.164863541553819,27.680551359169904
33,16.166559725833682,25.69285964469604
34,11.343177339034291,21.579929363962222
35,11.603622766832494,15.961518676172993
36,9.929305853378766,11.128330728987196
37,9.400922262083547,11.670153019738011
38,7.132357294942908,10.964379167592758
39,5.4693520868966585,9.435849468016904
40,3.691902775361048,7.948520555126356
41,6.514355437318174,7.353389884571644
42,6.441458306754744,8.525328311715919
43,7.4066211093805405,9.369003599914567
44,7.440961171885896,9.650838739190895
45,6.760532177913313,10.570213882149943
46,6.4594520105890965,10.23176345279171
47,6.223469303826909,10.212018641402624
48,6.430308124891689,10.070631930666119
49,6.47678282465846,9.376294648950678
50,5.929141465369135,9.235412027975348
51,5.797056102486649,9.475604826962751
52,5.548456452611627,8.808138029926871
53,3.8339527255461316,9.97750736930099
54,2.603127898866979,10.704943277390148
55,4.07826050531656,12.947693690695509
56,3.909353371571105,14.751159962808691
57,7.096103675148108,17.69331075900875
58,10.440586800531214,19.60278121221575
59,15.622259956080573,24.691490736425234
60,19.259045792353803,34.46418129785523
61,39.55737730658305,50.764382235756095
62,28.565266611614412,36.657173221661076
63,28.972508542054978,49.5687582960418
64,44.617731991302925,84.5448862360582
65,174.8286598428777,161.40708754124327
66,169.70431979979088,173.3973286904864
67,173.2790663022594,175.27795355160148
68,171.41118642040524,177.8912505713801
69,174.7734560970467,178.26491533853434
70,175.54381128480009,178.94019775075242
71,172.2649094683431,175.862030808412
72,174.62096883911119,176.0573782991962
73,174.0392442896699,175.16684110167643
74,175.3312616180513,177.05228483118555
75,174.64626388418435,175.67625871203313
76,175.52691467245586,176.3213479188366
77,173.8486866332059,176.796620746113
78,172.76691244360615,177.8007447122144
79,173.3480175622031,176.8578727166315
80,174.0213355762881,177.0161236823014
81,174.39336313890732,176.5907189931339
82,173.57094206853316,175.92392767151483
83,173.6408396775236,176.87860453790108
84,173.7947942388116,176.80760802909327
85,173.33753773864356,176.4429912382821
86,173.86741601326113,175.57028853643465
87,174.13193442553703,175.94830251079824
88,172.62635973824916,178.46018190258064
89,173.7112807067792,179.23947087605353
90,173.11923738694307,179.6881513147766
91,173.3236350671825,178.75323886825367
92,177.26898672811157,174.59966649410208
93,178.0810133922093,170.630819826777
94,139.53663258625534,166.68259403219267
95,58.46383930430729,152.46359937394743
96,38.33590158081988,87.45094238671422
97,30.360944264816577,56.89314925875386
98,36.22517076556082,52.76139937137549
99,40.58951716938256,46.73880913304685
100,32.048431310162975,39.407281168934
101,25.183119327965695,26.214675664920716
102,21.365479348087224,24.650880838462044
103,18.416690230930904,21.59369184004555
104,16.500948368460655,19.23472286090303
105,14.968729471135658,14.747109413086795
106,13.28681262653404,10.26876975423788
107,13.485077053491318,10.955091338456453
108,9.81622935200095,8.792349870349454
109,8.069557234966343,8.025831265590107
110,5.78234489503318,7.152066643415908
111,3.861822019246221,6.762293476585328
112,3.6924956329992074,6.179231682613672
113,4.094050516512582,6.222343906187123
114,5.007490336699549,7.590210775685977
115,6.096814401134369,6.3708949276842
116,5.6788043956960275,6.238076140398257
117,5.958156974705912,5.815809207087894
118,5.384849111626059,6.2885974009033685
119,5.409980455956465,5.998871897485477
120,6.181976161778683,6.404082185628912
121,5.472434616752357,6.326982757645986
122,5.545161328893418,6.735995258374356
123,5.6315807029507745,7.1217773341566515
124,5.512166282287667,7.082791119631121
125,5.373080847320416,6.009352306495226
126,5.109811348439461,5.424601664878157
127,4.720670014875219,7.293571327659369
128,3.7686189250836692,8.562593884203343
129,3.9565537497632786,10.079342120432694
130,5.343893317441169,14.721196781892948
131,8.33836585232973,16.90981683642735
132,11.135840074767684,20.610511395722522
133,12.127760925791543,27.594556803814633
134,15.84820586890063,36.151097896493965
135,31.4777996430552,47.08892830069221
136,38.11737423711209,56.52406924835055
137,33.67245011020319,57.65768756315521
138,36.44148945008877,84.70977929814968
139,163.2364193297944,155.36309915655588
140,175.97787724241198,169.73309392619214
141,173.41118272234772,176.58206161521161
142,171.47614875837542,178.8782494909564
143,173.294953139042,178.5879679376706
144,169.03788530110657,178.02027476298323
145,171.48494084961763,175.68463713144723
146,169.61669309887003,175.7496274917842
147,166.86275441566514,175.22119846681835
148,168.15476527893193,174.5876995067932
149,167.63468557196276,173.9394602391707
150,168.14516721590155,175.80946089488742
151,168.1692552162882,174.97098494070005
152,167.4292808978442,173.98574194838176
153,167.34716125016382,173.62082857825396
154,167.34121237286305,173.28416946516325
155,167.19189745948555,173.4014269540577
156,167.92220927062687,173.1124447667397
157,166.52877686333812,172.91882611788765
158,166.94637135979892,172.41987918463175
159,166.86956247157235,174.17088306231747
160,167.8194223237414,173.88787838133914
161,167.55408284447688,174.22864940713805
162,168.13309804570508,174.2507701010998
163,167.43086868750478,173.63191115437394
164,166.95358781015142,173.99568756008654
165,167.07431987691393,174.37016218845247
166,165.8491237324812,174.82613893626953
167,167.45859478939758,175.3789864074235
168,167.41793952199987,175.877912080853
169,177.9408851503152,177.8470151474983
170,178.3280183586342,179.96237905286844
171,172.42790912237044,179.01801025865194
172,166.13734650142865,174.52314739540128
173,163.29947955592422,167.2882819456326
174,64.01758729590252,138.56972679184057
175,50.604817904222266,71.11919809482023
176,45.49477853144902,46.1556767455475
177,37.56149308391445,56.07205069895208
178,26.353756446918418,47.60173758729472
179,21.425881712341845,31.051632713063693
180,18.87569055464889,23.579551383475895
181,15.776403813214843,21.895932263130533
182,12.841467261828937,16.70417307015349
183,9.169738508497408,13.982541589647264
184,5.687574199946146,12.755398812274109
185,3.0624687740774834,9.579800150660061
186,2.4796959280239914,10.505420042485039
187,1.0492480938093054,9.131348129067016
188,0.8104380096620754,7.480853045091136
189,1.9734067038634329,7.272495939837295
190,1.7167523046345765,8.047475290459198
191,1.4279076556449284,8.746168256850307
192,2.4236367005335033,9.06902768724073
193,2.8226111175039517,9.09247626727319
194,3.3520306981552856,9.789716823088572
195,4.013436812208872,9.251360346633442
196,4.4284894137711595,9.483067171504233
197,4.211023463014361,10.012991788201928
198,4.347646391755531,9.409389100675936
199,3.858088593437421,9.305430933414614
200,3.7724684325475035,9.258661801814243
201,3.3776321364615476,8.641720513045579
202,3.106439373774747,9.226103658759417
203,2.578047595357599,8.57146203375923
204,2.0164508574481705,9.425547961247487
205,2.3291481302616845,11.991002224233878
206,2.400577140125473,12.727589265314169
207,4.421864111531279,16.133870341633976
208,5.772366184488589,19.238644415757452
209,8.62171011222334,23.436788883166233
210,10.172183110492377,23.4457636675719
211,11.527611443142685,27.979281056593774
212,16.748458493772368,40.1251428593012
213,21.3137621320418,51.951954176686556
214,28.689276819805986,57.836486025131904
215,35.197449224163236,48.370061117232076
216,156.50676326461246,121.43351518962984
217,178.6428150253767,154.87388266626118
218,171.01265325847623,167.8587673068402
219,169.58980576998403,174.17749262566576
220,172.1372502549336,176.78538915378226
221,170.5319397703831,179.96424411644554
222,169.7233294994249,178.07033810267072
223,171.7184879474117,179.5015638022973
224,168.8177335296623,177.06050838488372
225,172.0688939484706,175.5106211157985
226,171.45379690141414,173.78001432134076
227,168.3081955065759,173.3187271849809
228,167.94959528313848,174.46197300823064
229,170.5617240259576,175.80249942448717
230,168.7423805568378,173.8391476607582
231,170.74004357463824,174.27890606479048
232,169.7710203423969,174.16405875599474
233,170.34316890884102,174.53939812886014
234,169.97372052423447,174.60553606460172
235,169.93639154789904,173.9484944018524
236,168.019047529862,173.5141997364781
237,168.80788417439965,173.9724341935131
238,170.95138308753832,175.18688810401216
239,168.9330514576301,175.3143894130847
240,168.40684915313645,176.91430701120345
241,171.6189790605902,178.5986376037871
242,173.28623940615145,179.92044896103297
243,174.70733506880597,178.74423148411793
244,175.7131841486146,177.54200099159425
245,176.15957266447958,176.87544928205784
246,175.24532595122375,175.73352177781487
247,175.80997697210125,178.28497448796202
248,176.45059500470825,179.94707133093817
249,175.86536873190616,178.72960594791957
250,176.23619220883816,177.53312474062247
251,176.74589847635013,175.43568565075574
252,174.2074217654712,174.43188299650177
253,172.62719583065783,172.74616578757824
254,172.72448092156293,172.92068678365018
255,172.3434650976609,172.12297214102776
256,173.0929799884259,171.65051498562184
257,172.72070212079618,172.1080537699649
258,171.9118717746185,171.97879976177464
259,170.99198467565594,171.13243939042255
260,171.07945606304062,169.9968888120079
261,170.41022063286502,170.0789535643263
262,169.93242775722086,170.25815500625075
263,170.20721407396977,170.04433982583424
264,169.28070431284718,170.10469285565864
265,168.0715077415399,169.89253885707376
266,167.46812599384046,170.735466480722
267,168.98390929844774,169.92075326630882
268,171.36529791677907,170.11735173009816
269,173.31263663382197,169.89151989509344
270,175.51865193460756,170.10995863862104
271,174.4676240924876,170.40475359887765
272,176.19316370509898,172.58059075964573
273,173.6546840183077,171.58705157256412
274,175.41821144359056,170.46515283405623
275,172.3342065689696,170.084540140018
276,172.7494769778867,170.75531671243965
277,172.4696838837809,170.52346793559127
278,170.67329932201534,171.2845504353569
279,171.06978624879306,171.16221251724087
280,172.4017379991182,171.4110577196885
281,172.1983391981143,170.34409005012955
282,170.67836138850802,170.00967593458333
283,170.97686871019584,169.43630423144108
284,171.50015690638068,168.8973672851675
285,172.42789294803939,169.8376411571327
286,172.40280896571008,170.17727751772028
287,173.4534599897538,169.6557630446042
288,171.60920285147049,170.26524922918333
289,171.7620025498034,170.1994520024474
290,171.9762410133917,168.72180553989915
291,174.52139186799752,169.48460007346787
292,172.23729759119863,169.1184318874897
293,172.69955398118117,170.5561650440753
294,172.08449649693273,170.92448173417006
295,172.13780474844816,171.1932993859669
296,172.10266816577627,170.11429376767032
297,172.7929635925058,170.2018692178347
298,172.939325747047,170.1311271609298
299,171.08412088873183,169.82754482301985
300,170.51270237634458,169.63635060251244
301,170.48735056288967,169.90935184223548
302,171.2091950376258,170.07335761043907
303,171.96538222139048,170.45581368157806
304,173.59222557486893,170.38004890920175
305,172.04005605251885,170.39959639905337
306,171.7873871936514,170.6921185738049
307,172.59623927423937,170.51696766402458
